Date,CO2_Concentration,State
1971-05-31,332.34,AK
1971-06-30,330.29,AK
1971-07-31,323.78,AK
1971-08-31,317.71,AK
1971-09-30,318.74,AK
1971-10-31,322.79,AK
1971-11-30,327.23,AK
1971-12-31,331.04,AK
1972-01-31,333.48,AK
1972-02-29,334.18,AK
1972-03-31,334.12,AK
1972-04-30,334.51,AK
1972-05-31,335.57,AK
1972-06-30,333.53,AK
1972-07-31,324.89,AK
1972-08-31,318.78,AK
1972-09-30,321.86,AK
1972-10-31,327.08,AK
1972-11-30,330.51,AK
1972-12-31,333.37,AK
1973-01-31,334.67,AK
1973-02-28,335.35,AK
1973-03-31,336.45,AK
1973-04-30,336.94,AK
1973-05-31,336.54,AK
1973-06-30,334.28,AK
1973-07-31,327.83,AK
1973-08-31,322.3,AK
1973-09-30,323.49,AK
1973-10-31,328.36,AK
1973-11-30,331.93,AK
1973-12-31,334.92,AK
1974-01-31,337.09,AK
1974-02-28,337.71,AK
1974-03-31,337.8,AK
1974-04-30,337.55,AK
1974-05-31,338.72,AK
1974-06-30,338.41,AK
1974-07-31,330.94,AK
1974-08-31,323.23,AK
1974-09-30,324.11,AK
1974-10-31,329.29,AK
1974-11-30,333.09,AK
1974-12-31,335.66,AK
1975-01-31,336.62,AK
1975-02-28,336.47,AK
1975-03-31,336.42,AK
1975-04-30,336.58,AK
1975-05-31,336.29,AK
1975-06-30,334.34,AK
1975-07-31,329.29,AK
1975-08-31,324.59,AK
1975-09-30,324.84,AK
1975-10-31,329.3,AK
1975-11-30,333.31,AK
1975-12-31,336.22,AK
1976-01-31,337.44,AK
1976-02-29,337.83,AK
1976-03-31,338.45,AK
1976-04-30,338.78,AK
1976-05-31,337.99,AK
1976-06-30,335.56,AK
1976-07-31,330.4,AK
1976-08-31,324.74,AK
1976-09-30,325.2,AK
1976-10-31,329.26,AK
1976-11-30,333.2,AK
1976-12-31,336.16,AK
1977-01-31,337.63,AK
1977-02-28,337.71,AK
1977-03-31,338.35,AK
1977-04-30,339.32,AK
1977-05-31,339.65,AK
1977-06-30,337.6,AK
1977-07-31,332.03,AK
1977-08-31,326.55,AK
1977-09-30,326.4,AK
1977-10-31,330.05,AK
1977-11-30,334.54,AK
1977-12-31,337.36,AK
1978-01-31,339.86,AK
1978-02-28,341.09,AK
1978-03-31,341.01,AK
1978-04-30,341.06,AK
1978-05-31,340.96,AK
1978-06-30,339.34,AK
1978-07-31,333.1,AK
1978-08-31,327.12,AK
1978-09-30,327.45,AK
1978-10-31,332.57,AK
1978-11-30,337.21,AK
1978-12-31,338.9,AK
1979-01-31,339.98,AK
1979-02-28,341.19,AK
1979-03-31,342.05,AK
1979-04-30,342.35,AK
1979-05-31,343.28,AK
1979-06-30,341.78,AK
1979-07-31,333.53,AK
1979-08-31,327.12,AK
1979-09-30,328.57,AK
1979-10-31,333.95,AK
1979-11-30,337.53,AK
1979-12-31,338.79,AK
1980-01-31,341.1,AK
1980-02-29,342.76,AK
1980-03-31,343.48,AK
1980-04-30,344.64,AK
1980-05-31,345.38,AK
1980-06-30,342.93,AK
1980-07-31,337.25,AK
1980-08-31,332.59,AK
1980-09-30,332.8,AK
1980-10-31,337.16,AK
1980-11-30,340.42,AK
1980-12-31,343.14,AK
1981-01-31,344.92,AK
1981-02-28,345.51,AK
1981-03-31,345.64,AK
1981-04-30,346.13,AK
1981-05-31,346.69,AK
1981-06-30,343.91,AK
1981-07-31,336.43,AK
1981-08-31,331.06,AK
1981-09-30,333.33,AK
1981-10-31,338.47,AK
1981-11-30,342.27,AK
1981-12-31,344.73,AK
1982-01-31,346.15,AK
1982-02-28,347.13,AK
1982-03-31,347.7,AK
1982-04-30,347.48,AK
1982-05-31,347.54,AK
1982-06-30,345.13,AK
1982-07-31,339.47,AK
1982-08-31,333.37,AK
1982-09-30,333.09,AK
1982-10-31,337.82,AK
1982-11-30,342.5,AK
1982-12-31,345.12,AK
1983-01-31,346.76,AK
1983-02-28,347.41,AK
1983-03-31,347.85,AK
1983-04-30,348.06,AK
1983-05-31,348.46,AK
1983-06-30,346.91,AK
1983-07-31,340.96,AK
1983-08-31,334.12,AK
1983-09-30,334.06,AK
1983-10-31,340.63,AK
1983-11-30,345.82,AK
1983-12-31,347.23,AK
1984-01-31,349.15,AK
1984-02-29,350.55,AK
1984-03-31,350.11,AK
1984-04-30,349.83,AK
1984-05-31,350.5,AK
1984-06-30,348.73,AK
1984-07-31,341.61,AK
1984-08-31,335.92,AK
1984-09-30,337.16,AK
1984-10-31,341.46,AK
1984-11-30,344.88,AK
1984-12-31,348.17,AK
1985-01-31,349.59,AK
1985-02-28,349.52,AK
1985-03-31,350.47,AK
1985-04-30,351.88,AK
1985-05-31,352.37,AK
1985-06-30,350.39,AK
1985-07-31,343.85,AK
1985-08-31,337.35,AK
1985-09-30,338.5,AK
1985-10-31,344.1,AK
1985-11-30,347.44,AK
1985-12-31,349.02,AK
1986-01-31,350.8,AK
1986-02-28,352.84,AK
1986-03-31,353.56,AK
1986-04-30,353.24,AK
1986-05-31,353.3,AK
1986-06-30,350.58,AK
1986-07-31,343.47,AK
1986-08-31,338.78,AK
1986-09-30,341.94,AK
1986-10-31,347.6,AK
1986-11-30,350.21,AK
1986-12-31,352.16,AK
1987-01-31,353.27,AK
1987-02-28,353.78,AK
1987-03-31,354.29,AK
1987-04-30,354.58,AK
1987-05-31,355.22,AK
1987-06-30,353.15,AK
1987-07-31,346.18,AK
1987-08-31,340.37,AK
1987-09-30,341.42,AK
1987-10-31,345.73,AK
1987-11-30,349.87,AK
1987-12-31,353.14,AK
1988-01-31,355.8,AK
1988-02-29,357.22,AK
1988-03-31,357.54,AK
1988-04-30,358.05,AK
1988-05-31,357.87,AK
1988-06-30,354.87,AK
1988-07-31,348.57,AK
1988-08-31,343.53,AK
1988-09-30,345.64,AK
1988-10-31,351.05,AK
1988-11-30,355.44,AK
1988-12-31,358.33,AK
1989-01-31,359.26,AK
1989-02-28,358.92,AK
1989-03-31,360.02,AK
1989-04-30,360.36,AK
1989-05-31,359.72,AK
1989-06-30,358.53,AK
1989-07-31,350.58,AK
1989-08-31,342.8,AK
1989-09-30,344.88,AK
1989-10-31,351.41,AK
1989-11-30,356.39,AK
1989-12-31,359.45,AK
1990-01-31,360.78,AK
1990-02-28,361.31,AK
1990-03-31,361.9,AK
1990-04-30,361.82,AK
1990-05-31,361.56,AK
1990-06-30,357.56,AK
1990-07-31,349.24,AK
1990-08-31,344.73,AK
1990-09-30,346.75,AK
1990-10-31,352.56,AK
1990-11-30,356.89,AK
1990-12-31,360.13,AK
1991-01-31,361.93,AK
1991-02-28,361.87,AK
1991-03-31,362.28,AK
1991-04-30,362.32,AK
1991-05-31,362.02,AK
1991-06-30,360.61,AK
1991-07-31,354.22,AK
1991-08-31,347.03,AK
1991-09-30,348.35,AK
1991-10-31,355.08,AK
1991-11-30,358.58,AK
1991-12-31,360.58,AK
1992-01-31,362.03,AK
1992-02-29,362.19,AK
1992-03-31,362.56,AK
1992-04-30,362.93,AK
1992-05-31,362.77,AK
1992-06-30,360.64,AK
1992-07-31,353.86,AK
1992-08-31,347.38,AK
1992-09-30,348.56,AK
1992-10-31,353.0,AK
1992-11-30,357.06,AK
1992-12-31,361.0,AK
1993-01-31,362.66,AK
1993-02-28,362.81,AK
1993-03-31,363.47,AK
1993-04-30,363.85,AK
1993-05-31,363.59,AK
1993-06-30,359.69,AK
1993-07-31,352.32,AK
1993-08-31,348.06,AK
1993-09-30,350.1,AK
1993-10-31,354.27,AK
1993-11-30,358.74,AK
1993-12-31,361.43,AK
1994-01-31,362.79,AK
1994-02-28,364.42,AK
1994-03-31,365.04,AK
1994-04-30,364.33,AK
1994-05-31,364.55,AK
1994-06-30,362.19,AK
1994-07-31,354.38,AK
1994-08-31,348.19,AK
1994-09-30,350.71,AK
1994-10-31,356.65,AK
1994-11-30,361.77,AK
1994-12-31,364.43,AK
1995-01-31,365.82,AK
1995-02-28,366.82,AK
1995-03-31,366.73,AK
1995-04-30,366.48,AK
1995-05-31,366.32,AK
