Date,State,TempAVG,TempMAX,TempMIN,Rain,Snow,Hail,Thunder,Tornado
1/31/1975,AK,3.271453271,96.1,-65.9,323,1033,8,5,0
1/31/1975,AL,52.33323349,89.1,-1.8,146,9,0,24,0
1/31/1975,AR,44.25349462,81,8.1,141,17,1,32,0
1/31/1975,AZ,43.0457213,82,-2.9,47,42,0,1,0
1/31/1975,CA,47.82206322,87.1,-4.9,392,57,3,8,0
1/31/1975,CO,26.22312486,86,-28.8,18,203,0,3,0
1/31/1975,CT,34.24857249,59,5,38,24,0,0,0
1/31/1975,DE,38.00645161,70,13.1,30,15,0,0,0
1/31/1975,FL,63.65920741,88,24.3,291,0,1,43,0
1/31/1975,GA,52.04213904,84,18,204,2,1,23,0
1/31/1975,HI,69.76541248,84,37.9,127,0,0,5,0
1/31/1975,IA,21.11769744,57.9,-17,60,171,0,5,0
1/31/1975,ID,24.09364163,57,-16.8,39,129,1,1,0
1/31/1975,IL,32.79046359,84,-8,173,194,2,38,0
1/31/1975,IN,32.07703853,70,3.2,85,99,1,17,0
1/31/1975,KS,32.1927451,68,-6,81,104,0,6,0
1/31/1975,KY,38.88545161,75,6.1,138,71,1,24,0
1/31/1975,LA,55.03421185,82,16,147,5,1,35,0
1/31/1975,MA,32.64309677,62.1,-3.8,126,83,1,2,0
1/31/1975,MD,39.50707097,75,12.9,68,25,0,1,0
1/31/1975,ME,19.00818069,48.9,-29,52,156,0,1,0
1/31/1975,MI,24.60573405,60.1,-22,229,657,1,15,0
1/31/1975,MN,14.02797495,50,-32.1,36,291,0,3,0
1/31/1975,MO,33.78437152,68,-5.8,174,96,0,19,0
1/31/1975,MS,50.42674595,80.1,17.2,128,7,0,21,0
1/31/1975,MT,22.03587634,55,-26.9,65,291,0,2,0
1/31/1975,NC,47.23865655,81,12.9,221,15,1,12,0
1/31/1975,ND,12.39218773,43,-23.1,32,225,1,0,0
1/31/1975,NE,27.34177419,93.2,-9.8,58,187,1,2,0
1/31/1975,NH,22.28314516,52,-27.9,18,48,0,1,0
1/31/1975,NJ,36.83179724,68,4.1,101,52,0,1,0
1/31/1975,NM,34.89091834,99,-9.9,51,82,0,2,0
1/31/1975,NV,28.42356631,77,-19.8,26,61,0,1,0
1/31/1975,NY,28.98700488,64.9,-21.8,220,357,0,2,0
1/31/1975,OH,32.51739857,68,3,173,196,1,12,0
1/31/1975,OK,41.78551843,84,6.3,76,17,0,13,0
1/31/1975,OR,36.4857049,66.9,-5.8,276,149,2,3,0
1/31/1975,PA,31.63938851,71.1,-16.8,242,330,0,12,0
1/31/1975,PR,76.4,82.9,66.9,18,0,0,0,0
1/31/1975,RI,34.03548387,61,10,15,9,0,1,0
1/31/1975,SC,51.04086022,84.9,19.9,158,2,0,6,0
1/31/1975,SD,19.90727599,53.1,-18.9,39,188,0,0,0
1/31/1975,TN,42.52709677,77,8.2,135,42,0,22,0
1/31/1975,TX,50.87465975,93,-4.9,466,61,0,40,0
1/31/1975,UT,24.07019743,99,-15,24,110,2,6,0
1/31/1975,VA,41.75925914,81,3.2,246,75,0,3,0
1/31/1975,VI,77.69032258,87.1,63,10,0,0,0,0
1/31/1975,VT,24.41838476,52,-17,18,67,0,0,0
1/31/1975,WA,34.1383871,62.1,-9.9,369,292,1,3,0
1/31/1975,WI,20.95470488,53.1,-22.9,61,243,0,2,0
1/31/1975,WV,35.85369299,75.9,-6.9,124,116,0,8,0
1/31/1975,WY,21.43910826,57,-20.7,14,184,1,0,0
2/28/1975,AK,7.876642863,53.1,-56.7,246,952,8,7,0
2/28/1975,AL,53.76855532,87.1,18.1,148,6,0,44,0
2/28/1975,AR,42.8125,79,3,129,36,1,38,0
