Date,State,Forest_Area,Urban_Area
1/31/1960,AK,132078,21
1/31/1960,AL,20787,775
1/31/1960,AR,19903,282
1/31/1960,AZ,18303,313
1/31/1960,CA,39402,2463
1/31/1960,CO,20920,230
1/31/1960,CT,1979,408
1/31/1960,DE,392,62
1/31/1960,FL,20309,1006
1/31/1960,GA,24090,766
1/31/1960,HI,1997,75
1/31/1960,IA,1963,530
1/31/1960,ID,17612,96
1/31/1960,IL,3886,1143
1/31/1960,IN,4002,583
1/31/1960,KS,1665,299
1/31/1960,KY,11404,314
1/31/1960,LA,16127,536
1/31/1960,MA,3270,752
1/31/1960,MD,2900,322
1/31/1960,ME,17076,173
1/31/1960,MI,19204,1134
1/31/1960,MN,18713,778
1/31/1960,MO,15165,596
1/31/1960,MS,17238,301
1/31/1960,MT,20845,74
1/31/1960,NC,19134,597
1/31/1960,ND,466,66
1/31/1960,NE,1069,163
1/31/1960,NH,4807,90
1/31/1960,NJ,2054,998
1/31/1960,NM,18907,198
1/31/1960,NV,11843,53
1/31/1960,NY,12073,1505
1/31/1960,OH,5257,1504
1/31/1960,OK,10036,506
1/31/1960,OR,29316,273
1/31/1960,PA,15177,1300
1/31/1960,RI,429,126
1/31/1960,SC,11704,362
1/31/1960,SD,1385,87
1/31/1960,TN,13756,520
1/31/1960,TX,27784,2505
1/31/1960,UT,15378,243
1/31/1960,VA,15146,552
1/31/1960,VT,3734,52
1/31/1960,WA,21144,489
1/31/1960,WI,15564,742
1/31/1960,WV,9932,198
1/31/1960,WY,7627,48
2/29/1960,AK,131842,21
2/29/1960,AL,20804,775
2/29/1960,AR,19916,283
2/29/1960,AZ,18329,314
2/29/1960,CA,39402,2470
2/29/1960,CO,20928,231
2/29/1960,CT,1979,409
2/29/1960,DE,392,62
2/29/1960,FL,20298,1008
2/29/1960,GA,24124,767
2/29/1960,HI,1993,75
2/29/1960,IA,1968,530
2/29/1960,ID,17616,96
2/29/1960,IL,3885,1144
